ID,RawPractice,Type,Theme,Component,Sub-theme,Sub-sub-theme,GuidelineID,NewGuidelineID,GuidelineOccurrency,Guideline
120,"Business logic shouldn’t know where the data comes from. Act locally, but sync globally.",G,CLEAN,B,,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
122,Business logic doesn’t touch Android directly anymore and this should result in a decoupled codebase.,G,CLEAN,"B,F",JAVA-ONLY,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
189,"Domain layer: all the logic happens in this layer. Regarding the android project, you will see all the interactors (use cases) implementations here as well. This layer is a pure java module without any android dependencies. All the external components use interfaces when connecting to the business objects.",G,CLEAN,B,,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
205,The business logic layer does not contain any framework specific code and you should be able to run it without an emulator. This layer does not contain any framework specific code and you should be able to run it without an emulator.,G,CLEAN,B,JAVA-ONLY,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
207,"Your business logic models might not be appropriate for showing them to the user directly. Perhaps you need to show a combination of multiple business logic models at once. Therefore, I suggest you create a ViewModel class that makes it easier for you to display it to the UI. Then, you use a converter class in the outer layer to convert your business models to the appropriate ViewModel.",M,CLEAN,B,,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
221,"This layer [domain] sits on top of the data and is responsible for coordinating the actions to the repository. It can also perform some mappings to prepare the objects coming from the data layer, that way the presentation layer can consume them easily. The domain [layer] is 100% Java only, meaning that there are no Android framework related objects here. [Reactive Clean Architecture]",G,"MVVM,CLEAN",,JAVA-ONLY,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
244,"[On clean code ark] domain module. If you want an extra challenge with a reward of eternal glory and a totally clean design, you can make that module a pure Java module. It will prevent you from taking shortcuts and putting something related to the Android here.",,CLEAN,B,JAVA-ONLY,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
247,[On clean ark] We have pushed Android and the realworld stuff as far out on the outskirts as we can. Business logic doesn’t touch the Android directly anymore.,G,CLEAN,GEN,JAVA-ONLY,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
248,[On clean ark] We have nicely separated classes that are easy to test. Classes touching the world can be tested using Android test cases; the one not touching it can be tested using JUnit. Someone malevolent would maybe call that class explosion. I call it testable. :),G,CLEAN,GEN,JAVA-ONLY,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
257,"Layer Models: Enterprise Business Rules: The first layer is the enterprise business rules, the core business rules of our application. For example, Twitter’s rules might be a profile or a tweet. Unless the needs of your business change, you should never need to touch these once they have been created. These can also be created before you write your UI.",G,CLEAN,B,,,CLEAN1,CLEAN1,13,"Business logic should be completely decoupled from the Android framework. Ideally, it could be implemented in pure Java and be changed as little as possible. Additionally, business logic should be completely agnostic to the sources of data and developed before all other layers."
