ID,RawPractice,Type,Theme,Sub-theme,Sub-sub-theme,GuidelineID,NewGuidelineID,OccurrencyGuideline,,Component,Activity,Fragment,BroadcastReceiver,Service,ContentProvider,Manifest,LayoutXML,JetPack
197-198,"Create maps of dependencies. This is very useful if you want to reuse the same artifact version across different modules in your project, or maybe the other way around, where you have to apply different dependency versions to different modules. Another plus one, is that you also control the dependencies in one place and, for instance, bumping an artifact version is pretty straightforward.",G,GEN,INTER,DEP,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
33,Use Dagger,G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
99,It’s recommended to use Dependency Injection (cough….Dagger….cough) or Service Locator pattern to manage dependencies between the components.,G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
116,Dagger2 is used to avoid detailcomplicated boilerplate code of connecting architecture elements one to another.,G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
123,By injecting mock implementations of respective dependencies to separated classes can make testing much easier.,G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
212,"[Through dagger] we can manage the scope of our instances created, which is something really cool and from my point of view, Any object or collaborator in your app should not know anything about instances creation and lifecycle and this should be managed by our dependency injection framework.",G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,x,x,x,x,x,,,
194,"Use Dagger as (i) components become reusable (since dependencies can be injected and configured externally), (ii) when injecting abstractions as collaborators, we can just change the implementation of any object without having to make a lot of changes in our codebase, (iii) Dependencies can be injected into a component: it is possible to inject mock implementations of these dependencies which makes testing easier.",G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
213,"The @PerActivity is a custom scoping annotation to permit objects whose lifetime should conform to the life of the activity to be memorized in the correct component. I really encourage to do this as a good practice, since we get these advantages: The ability to inject objects where and activity is required to be constructed. The use of singletons on a peractivity basis. The global object graph is kept clear of things that can be used only in activities.",G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,x,,,,,,,
112,"My second tip is to have a core module which will have these main responsitilities: * Handle global dependency injection. * Contain extension functions. * Contain the main framework abstractions. * Initiate in the main application common 3rd party libraries like Analytics, Crash Reporting, etc.",G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
103,"Having DI framework is not a must, you can live without it, but right setup of DI can really make your life easier. There are several libraries which offer ready solutions (e.g. Dagger, Roboguice, Toothpick). You can decide which one will fit best in your project, considering performance and usability. With dependency injection you don’t have to care so much about things like e.g. object creation, passing references, implementing singleton pattern.",G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
104,"I think it is a good practice to wrap libraries with a layer of abstraction, this way you can avoid dependencies from particular library implementation inside your business logic. Also if you decide to change a library to a different one, you won’t have to do refactoring in the entire project, just inside a single repository. It is not necessary to use this pattern for everything, only for libraries which you are not confident you will be using in the future.",G,GEN,LIB,DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
86,"The UserRepository class above needs an instance of Webservice to fetch the user's data. It could simply create the instance, but to do that, it also needs to know the dependencies of the Webservice class. Additionally, UserRepository is probably not the only class that needs a Webservice. This situation requires us to duplicate code, as each class that needs a reference to Webservice needs to know how to construct it and its dependencies. If each class creates a new WebService, our app could become very resource heavy. You can use the following design patterns to address this problem: - Dependency injection (DI): Dependency injection allows classes to define their dependencies without constructing them. At runtime, another class is responsible for providing these dependencies. We recommend the Dagger 2 library for implementing dependency injection in Android apps. Dagger 2 automatically constructs objects by walking the dependency tree, and it provides compiletime guarantees on dependencies. - Service locator: The service locator pattern provides a registry where classes can obtain their dependencies instead of constructing them. - It's easier to implement a service registry than use DI, so if you aren't familiar with DI, use the service locator pattern instead. - These patterns allow you to scale your code because they provide clear patterns for managing dependencies without duplicating code or adding complexity. Furthermore, these patterns allow you to quickly switch between test and production datafetching implementations. Our example app uses Dagger 2 to manage the Webservice object's dependencies.",M,GEN,"LIB,DEV",DAG,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
85,"Note: If you're already using a library like RxJava or Agera, you can continue using them instead of LiveData. When you use libraries and approaches like these, however, make sure you handle your app's lifecycle properly. In particular, make sure to pause your data streams when the related LifecycleOwner is stopped and to destroy these streams when the related LifecycleOwner is destroyed. You can also add the android.arch.lifecycle:reactivestreams artifact to use LiveData with another reactive streams library, such as RxJava2.",G,GEN,LIB,RX,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
153,"RxJava allows you to manage data via asynchronous streams and gives you many operators that you can apply to the stream in order to transform, filter or combine the data.",G,GEN,LIB,RX,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
155,RxJava Observables and operators remove the need for having nested callbacks.,G,GEN,LIB,RX,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
218,"We realised there are several ways to use RxJava. The most straightforward one is for asynchronous calls, where you subscribe to an Observable that will eventually emit onNext or onError and complete afterwards, a typical example of this are the observables from retrofit calls. It’s like a callback on steroids, you can control the threads where things are executed very easily and there’s a bunch of very powerful operators that allow you to combine/transform the result.",G,GEN,LIB,RX,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
252,"[On clean ark] Although it’s a bit hidden, the same data flow inversion principle still holds, because without RxJava presenters were implementing the callback, and with RxJava subscribers are also contained in the outer layer – somewhere in the presenter.",G,"GEN,CLEAN",LIB,RX,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,F,,,,,,,,
191,benefits we get out of this RxJava: Decoupling between Observables and Subscribers: makes maintainability and testing easier.,G,GEN,LIB,RX,GEN20,Gen1,18,Decouple components and explicitly inject/manage the dependencies among them,,,,,,,,,
235,"As Robert Martin, aka Uncle Bob, says, “Your architecture should scream the purpose of the app.” More technically said, business logic should be clearly separated and independent of the framework.",G,GEN,AA,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
236,"Satisfy a multitude of stakeholders: all interactions are separated in the classes/modules/components/whatever whose job is interactions, and that particular developer works only on those components while working on the UX part of the app.",G,GEN,AA,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
9,"We did not separate common functionality in base fragments and activities, but had one different for each, reducing maintainability.",B,GEN,ACT,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,x,x,,,,,,
49,Do not use too many small activities. The purpose of each activity should be easy to be explained,B,GEN,ACT,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,x,,,,,,,
24,[BAD] No clear separation of responsibility,B,GEN,DEV,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
210,Decoupled code makes it easy to focus your attention on specific issues without a lot of bloatware getting in the way,G,GEN,DEV,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
10,Adhere to the KISS principle. :),G,GEN,DEV,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
30,"[BAD] Event driven programming, if no interfaces are used bad, or do not provide basic functions in base classes (also to avoid code duplicates).",B,GEN,DEV,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
106,"Feature switching: This is not really something that you must have, but in some cases it can be useful. Feature switching basically allows you to configure set of features/screens which should be enabled in the app, this could be done via local configuration or remotely (e.g Firebase Remote Config). I especially recommend to have remote feature switching if your application contains functionality dependent on external web services. If external API fails, dependent features in your app will stop working as well. In such situation you should disable broken feature ASAP to avoid annoying users. If you have a remote configuration setup you can just disable given feature in remote console, until the API starts working again.",G,GEN,DEV,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
115,Minimize framework (android) dependencies in your project as much as you can.,G,GEN,INTER,DEP,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
199,Minimize framework (android) dependencies in your project as much as you can.,G,GEN,INTER,DEP,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
16,Core logic should be testable,G,GEN,,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
232,"It’s all about decoupling your business logic from the outside world (meaning frameworks, implementation details, etc.) and ending up with the maintainable, testable and with low technical debt application",G,GEN,,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
238,"Run away from the real world (Android, DB, Internet…). We have already said that we want to scream what the app really does; that’s it. We want to emphasize business logic and leave framework details under the hood. This point should be even stronger: we would like to not only hide framework details but all the details related to the outside world.",G,GEN,,,GEN16,Gen2,17,"Design components as independent entities as possibile, build them around the business domain (features of the app) and make them Android-independent",,,,,,,,,
