Data point ID,ID,Year,Title,URL,Libraries,Architectural Style,Custom architecture style,RQ2 - Guidelines,RQ3 - Quality Requirements
DP1,I1,2018,,,,"MVP, MVVM",,"1. Do not do too much in activities and fragments
------
2. Stick to a precise architecture, e.g. MVP and MVVM
------
3. Do not use concrete classes but interfaces, which are more easy to change
------
4. Put the business logic in the presenters and not in the views/activities
------
5. When starting a new project, use directly MVP
------
6. When developing a base activities make sure that it can be easy be used by inherited classes","Reusability
Maintainability
Performance
Testability
Portability
"
DP2,I2,2018,,,,"MVP, MVC",,"7. Divide core logic from UI
------
8. Too many callbacks, such as 2 depth levels of callbacks are hard to read
------
9. We did not separate common functionality in base fragments and activities, but had one different for each, reducing maintainability.
------
10. Adhere to the KISS principle. :)
------
11. when talking about module, we have a feature A and feature B, it is good to separate into two submodules.
------
12. DataStorage, if put into a dedicated submodule it is easier to maintain. 
------
13. Variable and function names should be meaningful.
------
14. Separate model from the view
------
15. Separate the code into the components of MVP, MVC
------
16. Core logic should be testable
------
17. Use continuous integration and deployment
------
","Testability
Maintainability (if app last long) 
UX (Usability)
Performance
Portability"
DP3,I3,2018,,,,MVC,,"* Good Architectural principles

18. [GOOD] Separation of responsibility: one component should do only one good thing
------
19. [GOOD] Abstraction of data layer (it should be well encapsulated).
------
20. [GOOD] Network connectivity should be handled with care, local caching through error handling.
------
21. [GOOD] Power management, graceful failing, retry when server fails, incremental pinging when server is unresponsive, bundled updates of various app to avoid constant throttling in background. 
------
269. Use as much as possible the Android components, e.g. someone used a bloatware custom dock instead of using stock Android.

* Bad Architectural principles

22. [BAD] Not using the compatibility library (makes new features backwards compatible), called “compat library”.
------
23. [BAD] God object
------
24. [BAD] No clear separation of responsibility
------
25. [BAD] Not using a dedicated business logic layer
------
26. [BAD] Not using a dedicated data holding layer
------
27. [BAD] Mixing code and UI
------
28. [BAD] Singleton
------
29. [BAD] Directory/file structure should be tidy: if there is a mix in the folders, there is a mix also in the code, similar stuff should go in the same folder/subfolders.
------
30. [BAD] Event driven programming, if no interfaces are used bad, or do not provide basic functions in base classes (also to avoid code duplicates).
------
31. [BAD] Naming patterns should be used consistently and with sense.
","Testability
Usability
Maintainability
Security
Power management
Performance
"
DP4,I4,2018,,,"Dagger, Jetpack","MVP, MVVM",,"32. Do not throw everything in an activity
------
33. Use Dagger
------
34. Use a separate model for the network, then create a model internal to the app
-----
35. Put most of the logic in the Presenter
-----
36. Put the Presenter lisening to the tables, and the Presenter then updates the view
-----
37. Manage the low level networkign with an ad-hoc model, the service then puts the model with the presenter (at a higher level) and at the above level is the view
----- 
38. Do not put logic in the views
-----
39. Do not put logic in the Presenter, as you cannot do unit testing
-----
40. Use Reactive minfdully in order to avoid resource leaks
-----
41. Use a library to manage images","Testability
Maintainability
Performance
Compatibility
Energy Efficiency
Usability"
DP5,I5,2018,,,,"MVP, MVVM",,"42. Architecture needs to be in line with the project
-----
43. Avoid God Classes by creating a super-activity
-----
44. Put all logic in presenter
-----
45. Use a tidy folder structure and file layout
-----
46. No more than 1.000 lines per component\class
-----
47. Methods should be kept small
-----
48. Respect separation of concern at method level
-----
49. Do not use too many small activities. The purpose of each activity should be easy to be explained
-----
50. Background tasks should not run forever

","Understandability
Performance
Maintainability
Testability
	
"
DP6,WL22,2015,Unveiling the Architecture and Design of Android Applications,,,MVC,,"51. the application structure consists of a set of monolithic classes. These classes group almost all project code in a few classes, thus this application does not present a well-modularized architecture.
---
52.   2) we also found some violations to the MVC pattern. Although most of these violations do not represent a clear threat to the evolution of the architecture of the existing applications, they need to be monitored in order to avoid future maintenance difficulties
53.   2.1) Model-to-View violation. The first found scenario was a violation of the independence of the model component, where model classes have direct calls to classes of the View component.
54.   2.2) Model-to-Controller violation. Similar to the previous kind of violation, this second case implies the rupture of independence of the model component, since this component is dependent of the controller component.
---
55.   3) We also analysed the package organization of each selected application in order to identify whether the separation into architectural components as reflected in the package structure. 
---
56.   3.1) many applications grouped their classes based on the MVC components, creating a separated package for each architectural component (model, view or controller)
---
57.   3.2) On the other hand, some applications have grouped their classes according to the business concern.
---
58. The gain with the adoption of this pattern [Multiple-View Layout] is directly related to the treatment of the variability of multiple screens and indirectly to reuse screens.
---
59. The Adapter pattern, for example, was commonly used to adapt existing Android classes to create customized views.","Variability of multiple screens, Evolution, Maintainance"
DP7,WL73,2016,Architecture Modeling and Analysis of Security in Android Systems,,,,,"60. Permission use within apps is consistent, meaning that any component of an app that has a permission must be declared also at the app level. This constraint is defined for each application group.
-------
61. Explicit intent connectors should reference valid targets.
-------
62. All implicit intents are attached to the global implicit intent bus.
-------
63. Activities and services that are not exported by an app are not connected to other apps.",Security
DP8,WL122,2011,A Hybrid Software Architecture for Rich Media Applications on Android Phones,,,,,?,"Performance, Productivity


The aim of this research is to provide a software architecture
that improves performance and software productivity for rich
media applications that run on smartphones.













"
DP9,WL146,2014,Towards High Quality Mobile Applications: Android Passive MVC Architecture,,,,,"64. Parts of code integrated into single Activity cannot be reused, methods can only be copied to another Activity making the redundant code. Any additional View and action complicates the Activity. A modification of one action repeating on sev- eral screens requires modification in all related Activities (assuming one Activity per screen). Activity can contain the implementation of very different actions non related to each other, this can make the Activity very complex, unreadable and incomprehensible. Activity is kept in memory while the application is running, thereby a very big Activity affects performance. Finally, the modification in the user interface and application logic can lead to the need of full redevelopment of all Activities.
-----
65. The coupling between components should be weak to avoid the modification of other components if one is modified.
-----
66. Modules should be reusable [17][22]. A mobile phone has a limited memory, therefore the creation of unnecessary objects should be avoided. 
-----
67. Objects remaining in the memory should be lightweight [19]. Modification in user interface or in navigation logic should involve the minimum modification of the application.
-----
68. To keep components loosely coupled it is recommended to ensure communication between Controllers and Activity via interfaces.
-----
69. Fragments should rarely have a callback to parent Fragments but if necessary the callback can be implemented with interfaces.
-----
70. Developer should avoid high hierarchy between Fragments within a single Activity as parent Fragment is linked to the child Fragments. Activities make components more indepen- dent and simplifies the Fragment management.

","Modularity, Maintainability, Extensibility, Reusabiity, Performance"
DP10,WL149,2017,Towards architectural styles for Android app software product lines,,,,,"71. Android does not directly support a general reuse model, since Android fragments must have a UI. To reuse common functionality, that does not have its own UI, a reuse model is required that is tailored to activities.
---
72. To provide a custom work flow for concrete apps, the SPL should support refinements of the intents  connecting activities. This means that the SPL should enable the substitution of base activities with specialized activities or calls to external services (e.g., the Android gallery, the camera or other apps).
--- 
73. In Android, user-visible settings are statically defined in an XML (eXtensible Markup Language) file which does not provide a visibility flag. Therefore, all apps in the SPL would have the same preference entries. In order to provide variability of preference entries, an Android app SPL should support custom preference entries for each concrete app.
---
74. Many apps share a common domain or business process while each app should be tailored to the needs of a  different target group.
---
75. SPLs usually provide a feature model defining which features are contained in each concrete product. However, product flavors, the static configuration mechanisms offered by Android, do not support modularization of the feature selection and feature configuration.
---
76. architecture-based support for variability in SPLs are:
● V1: Inheritance is used when a feature needs to be implemented differently for a product or a product should extend a type defined in the core assets.
● V2: Extensions and extension points are used when parts can be extended with additional behavior. Design Patterns [14] are a common way to build extensions points into an SPL [12].
● V3: Parametrization is used when parameters can be referenced inside the core asset code and instantiated
with a concrete value in the concrete products. A parameter has an initial value which can be adjusted by the concrete products.
● V4: Configuration is used to connect modules and components to each other. Configuration is the process of assembling a product by selecting and connecting modules and components out of the core assets.
● V5: Generation is used when a higher level language can be applied to define concrete component properties.","Modularity, Adaptability, Performance




Modularity: The architectural styles provide separation of
concerns (e.g., by keeping together the code for preferences,
for one feature modularized in an activity extension or the
domain-specific use case encoded in an XML file).
---
Feature configuration during run time: Our SPL architectures dynamic preference entries and feature model configurations are loaded during run time which increases the size
of the executable, because Android resources are evaluated
during run time. Hence, all features and alternatives of the
core assets library are compiled into the executable Android
package (APK). This increases the download time of the apps.
---
Software Complexity: Similar to other SPL architectures,
the proposed styles can lead to a more complex architecture
than single concrete apps would have. The flexibility that
is essential for a configurable architecture often results in
more abstract code which can raise challenges in dealing with
temporal dependencies."
