ID,RawPractice,Type,Theme,Component,Activity,Fragment,BroadcastReceiver,Service,ContentProvider,Manifest,LayoutXML,JetPack
1,Do not do too much in activities and fragments,B,GEN,,x,x,,,,,,
2,"Stick to a precise architecture, e.g. MVP and MVVM",G,GEN,,,,,,,,,
3,"Do not use concrete classes but interfaces, which are more easy to change",M,GEN,,,,,,,,,
4,Put the business logic in the presenters and not in the views/activities,G,GEN,,,,,,,,,
5,"When starting a new project, use directly MVP",G,GEN,,,,,,,,,
6,When developing a base activities make sure that it can be easy be used by inherited classes,G,GEN,,x,,,,,,,
7,Divide core logic from UI,G,GEN,,,,,,,,,
8,"Too many callbacks, such as 2 depth levels of callbacks are hard to read",G,GEN,,,,,,,,,
9,"We did not separate common functionality in base fragments and activities, but had one different for each, reducing maintainability.",B,GEN,,x,x,,,,,,
10,Adhere to the KISS principle. ,G,GEN,,,,,,,,,
11,"when talking about module, we have a feature A and feature B, it is good to separate into two submodules.",G,GEN,,,,,,,,,
12,"DataStorage, if put into a dedicated submodule it is easier to maintain.",G,GEN,,,,,,,,,
13,Variable and function names should be meaningful.,G,GEN,,,,,,,,,
14,Separate model from the view,G,MVP,"M,V",,,,,,,,
15,"Separate the code into the components of MVP, MVC",G,GEN,,,,,,,,,
16,Core logic should be testable,G,GEN,,,,,,,,,
17,Use continuous integration and deployment,G,GEN,,,,,,,,,
18,[GOOD] Separation of responsibility: one component should do only one thing good,G,GEN,,,,,,,,,
19,[GOOD] Abstraction of data layer (it should be well encapsulated).,G,MVP,MVP,,,,,,,,
20,"[GOOD] Network connectivity should be handled with care, local caching through error handling.",G,GEN,,,,,,,,,
21,"[GOOD] Power management, graceful failing, retry when server fails, incremental pinging when server is unresponsive, bundled updates of various app to avoid constant throttling in background.",G,GEN,,,,,,,,,
22,"[BAD] Not using the compatibility library (makes new features backwards compatible), called “compat library”.",B,GEN,,,,,,,,,
23,[BAD] God object,B,GEN,,,,,,,,,
24,[BAD] No clear separation of responsibility,B,GEN,,,,,,,,,
25,[BAD] Not using a dedicated business logic layer,B,GEN,,,,,,,,,
26,[BAD] Not using a dedicated data holding layer,B,GEN,,,,,,,,,
27,[BAD] Mixing code and UI,B,GEN,,,,,,,,,
28,[BAD] Singleton,B,GEN,,,,,,,,,
29,"[BAD] Directory/file structure should be tidy: if there is a mix in the folders, there is a mix also in the code, similar stuff should go in the same folder/subfolders.",B,GEN,,,,,,,,,
30,"[BAD] Event driven programming, if no interfaces are used bad, or do not provide basic functions in base classes (also to avoid code duplicates).",B,GEN,,,,,,,,,
31,[BAD] Naming patterns should be used consistently and with sense.,B,GEN,,,,,,,,,
32,Do not throw everything in an activity,G,GEN,,x,,,,,,,
33,Use Dagger,G,GEN,,,,,,,,,
34,"Use a separate model for the network, then create a model internal to the app",G,GEN,,,,,,,,,
37,"Manage the low level networkign with an adhoc model, the service then puts the model with the presenter (at a higher level) and at the above level is the view",G,GEN,,,,,,,,,
35,Put most of the logic in the Presenter,G,MVP,,,,,,,,,
36,"Put the Presenter lisening to the tables, and the Presenter then updates the view",G,MVP,,,,,,,,,
38,Do not put logic in the views,B,GEN,,x,x,,,,,,
39,"Do not put logic in the Presenter, as you cannot do unit testing",B,GEN,,,,,,,,,
40,Use Reactive minfdully in order to avoid resource leaks,B,GEN,,,,,,,,,
41,Use a library to manage images,G,GEN,,,,,,,,,
42,Architecture needs to be in line with the project,G,GEN,,,,,,,,,
43,Avoid God Classes by creating a superactivity,B,GEN,,x,,,,,,,
44,Put all logic in presenter,G,GEN,,,,,,,,,
45,Use a tidy folder structure and file layout,G,GEN,,,,,,,,,
46,No more than 1.000 lines per component\class,B,GEN,,,,,,,,,
47,Methods should be kept small,B,GEN,,,,,,,,,
48,Respect separation of concern at method level,G,GEN,,,,,,,,,
49,Do not use too many small activities. The purpose of each activity should be easy to be explained,B,GEN,,x,,,,,,,
50,Background tasks should not run forever,B,GEN,,,,,x,,,,
51,"the application structure consists of a set of monolithic classes. These classes group almost all project code in a few classes, thus this application does not present a wellmodularized architecture.",B,GEN,,,,,,,,,
55,3) We also analysed the package organization of each selected application in order to identify whether the separation into architectural components as reflected in the package structure.,G,GEN,,,,,,,,,
52,"2) we also found some violations to the MVC pattern. Although most of these violations do not represent a clear threat to the evolution of the architecture of the existing applications, they need to be monitored in order to avoid future maintenance difficulties",B,MVC,,,,,,,,,
53,"2.1) ModeltoView violation. The first found scenario was a violation of the independence of the model component, where model classes have direct calls to classes of the View component.",B,MVC,M,,,,,,,,
54,"2.2) ModeltoController violation. Similar to the previous kind of violation, this second case implies the rupture of independence of the model component, since this component is dependent of the controller component.",B,MVC,M,,,,,,,,
56,"3.1) many applications grouped their classes based on the MVC components, creating a separated package for each architectural component (model, view or controller)",G,GEN,,,,,,,,,
57,"3.2) On the other hand, some applications have grouped their classes according to the business concern.",G,GEN,,,,,,,,,
82,Activities and Fragments should only contain logic that handles UI and operating system interactions.,G,GEN,,x,x,,,,,,
58,The gain with the adoption of this pattern [MultipleView Layout] is directly related to the treatment of the variability of multiple screens and indirectly to reuse screens.,,,,,,,,,,,
59,"The Adapter pattern, for example, was commonly used to adapt existing Android classes to create customized views.",,,,,,,,,,,
60,"Permission use within apps is consistent, meaning that any component of an app that has a permission must be declared also at the app level. This constraint is defined for each application group.",G,GEN,,,,,,,,,
61,Explicit intent connectors should reference valid targets.,G,GEN,,,,,,,,,
62,All implicit intents are attached to the global implicit intent bus.,G,GEN,,,,,,,,,
63,Activities and services that are not exported by an app are not connected to other apps.,G,GEN,,,,,,,,,
64,"Parts of code integrated into single Activity cannot be reused, methods can only be copied to another Activity making the redundant code. Any additional View and action complicates the Activity. A modification of one action repeating on several screens requires modification in all related Activities (assuming one Activity per screen). Activity can contain the implementation of very different actions non related to each other, this can make the Activity very complex, unreadable and incomprehensible. Activity is kept in memory while the application is running, thereby a very big Activity affects performance. Finally, the modification in the user interface and application logic can lead to the need of full redevelopment of all Activities.",B,GEN,,x,x,,,,,,
65,The coupling between components should be weak to avoid the modification of other components if one is modified.,G,GEN,,,,,,,,,
66,"Modules should be reusable [17][22]. A mobile phone has a limited memory, therefore the creation of unnecessary objects should be avoided.",G,GEN,,,,,,,,,
67,Objects remaining in the memory should be lightweight [19]. Modification in user interface or in navigation logic should involve the minimum modification of the application.,G,GEN,,,,,,,,,
68,To keep components loosely coupled it is recommended to ensure communication between Controllers and Activity via interfaces.,G,GEN,,,,,,,,,
69,Fragments should rarely have a callback to parent Fragments but if necessary the callback can be implemented with interfaces.,M,GEN,,,,,,,,,
70,Developer should avoid high hierarchy between Fragments within a single Activity as parent Fragment is linked to the child Fragments. Activities make components more independent and simplifies the Fragment management.,G,GEN,,,,,,,,,
71,"Android does not directly support a general reuse model, since Android fragments must have a UI. To reuse common functionality, that does not have its own UI, a reuse model is required that is tailored to activities.",G,GEN,,,,,,,,,
72,"To provide a custom work flow for concrete apps, the SPL [Software Product Line] should support refinements of the intents connecting activities. This means that the SPL should enable the substitution of base activities with specialized activities or calls to external services (e.g., the Android gallery, the camera or other apps).",,,,,,,,,,,
73,"In Android, uservisible settings are statically defined in an XML (eXtensible Markup Language) file which does not provide a visibility flag. Therefore, all apps in the SPL would have the same preference entries. In order to provide variability of preference entries, an Android app SPL should support custom preference entries for each concrete app.",,,,,,,,,,,
74,Many apps share a common domain or business process while each app should be tailored to the needs of a different target group.,,,,,,,,,,,
75,"SPLs usually provide a feature model defining which features are contained in each concrete product. However, product flavors, the static configuration mechanisms offered by Android, do not support modularization of the feature selection and feature configuration.",,,,,,,,,,,
76,architecture based support for variability in SPLs are: V1: Inheritance is used when a feature needs to be implemented differently for a product or a product should extend a type defined in the core assets. V2: Extensions and extension points are used when parts can be extended with additional behavior. Design Patterns [14] are a common way to build extensions points into an SPL [12]. V3: Parametrization is used when parameters can be referenced inside the core asset code and instantiated with a concrete value in the concrete products. A parameter has an initial value which can be adjusted by the concrete products. V4: Configuration is used to connect modules and components to each other. Configuration is the process of assembling a product by selecting and connecting modules and components out of the core assets. V5: Generation is used when a higher level language can be applied to define concrete component properties.,,,,,,,,,,,
77,"Allowed Communication: Let E be a set of all exported components, and c1 and c2 be two arbitrary components in the system. We say that c1 can communicate with c2, if either both components belong to the same app or c2 is an exported component and c1 is granted the permissions enforced by c2: communicate(c1, c2) ≡ (appc1 = appc2) ∨ (c2 ∈ E ∧ enforcedc2 ⊆ grantedc1)",,,,,,,,,,,
78,"Required Permission: Let c1 be a compo nent, and usedc1 be a set of permissions directly used by component c1.",,,,,,,,,,,
79,"Privilege Escalation: Let p be a permis sion, cm be a component that does not hold p, and cv be a component that holds and uses p but does not enforce (check) the components that may be using its services also hold p. In the privilege escalation attack, cm is able to indirectly obtain p by interacting with cv. communicate(cm,cv)∧p ∈ usedcv ∧p ̸∈ grantedcm ∧ p ̸∈ enforcedcv",,,,,,,,,,,
80,"1) Broadcast Receiver is best to be clearly defined as a connector, discouraging developers of including applicationspecific logic within such a module that by design should behave as a gateway to other components, a responsibil ity advocated to assign to connectors in the architecture literature (Mehta et al., 2000). Essentially, the Broadcast Receiver in Android by itself can be a complicated building block, supporting three dif ferent types of broadcast Intents, that incorporating application specific logic into may make it very hard to understand. In fact, the phenomenon, where a component acts also as a connector, is referred to as Connector Envy (Garcia et al., 2009), an architectural decay instance that results in bloated components, reduces efficiency by increasing each affected component’s memory footprint, and renders such components more complex and less maintainable. (Section 6.4)",B,GEN,,,,,,,,,
81,"2) Modelviewcontroller antipattern. Another poor separation of concerns occurs due to Android’s design that breaks the ModelViewController (MVC) architectural pattern (Krasner et al., 1988; Taylor et al., 2009). In that pattern, a View component provides graphical depictions of information; a Model component contains information to be depicted; and a Controller component maintains consistency between the Model and View. In Android, a Content Provider acts as a Model; the responsibilities of the View and Controller are integrated into one component, an Activity (cf. Section 4.1). This violates the singleresponsibility design principle (Gamma et al., 1994), resulting in a poor separation of concerns that breaks the MVC pattern (Sokolova et al., 2013). This design decision results in an architectural antipattern (Brown et al., 1998), which is a recurring set of architectural elements that together negatively affects the architecture of a system, and renders the system more complex and less maintainable. For example, testing the operations of the View and Controller in Android cannot be done separately Discourages development of “bloated” Activity components that suffer from increased memory footprints and de creased efficiency.",B,GEN,,,,,,,,,
83,Drive your UI from a model,G,GEN,,,,,,,,,
85,"Note: If you're already using a library like RxJava or Agera, you can continue using them instead of LiveData. When you use libraries and approaches like these, however, make sure you handle your app's lifecycle properly. In particular, make sure to pause your data streams when the related LifecycleOwner is stopped and to destroy these streams when the related LifecycleOwner is destroyed. You can also add the android.arch.lifecycle:reactivestreams artifact to use LiveData with another reactive streams library, such as RxJava2.",G,GEN,,,,,,,,,
84,"Implementing ViewModel might involve directly calling the Webservice to fetch the data and assign this data to our LiveData object. This design works, but by using it, our app becomes more and more difficult to maintain as it grows. Additionally, the scope of a ViewModel is tied to an Activity or Fragment lifecycle, which means that the data from the Webservice is lost when the associated UI object's lifecycle ends. This behavior creates an undesirable user experience.",B,MVVM,VM,x,x,,,,,,x
86,"The UserRepository class above needs an instance of Webservice to fetch the user's data. It could simply create the instance, but to do that, it also needs to know the dependencies of the Webservice class. Additionally, UserRepository is probably not the only class that needs a Webservice. This situation requires us to duplicate code, as each class that needs a reference to Webservice needs to know how to construct it and its dependencies. If each class creates a new WebService, our app could become very resource heavy. You can use the following design patterns to address this problem: - Dependency injection (DI): Dependency injection allows classes to define their dependencies without constructing them. At runtime, another class is responsible for providing these dependencies. We recommend the Dagger 2 library for implementing dependency injection in Android apps. Dagger 2 automatically constructs objects by walking the dependency tree, and it provides compiletime guarantees on dependencies. - Service locator: The service locator pattern provides a registry where classes can obtain their dependencies instead of constructing them. - It's easier to implement a service registry than use DI, so if you aren't familiar with DI, use the service locator pattern instead. - These patterns allow you to scale your code because they provide clear patterns for managing dependencies without duplicating code or adding complexity. Furthermore, these patterns allow you to quickly switch between test and production datafetching implementations. Our example app uses Dagger 2 to manage the Webservice object's dependencies.",M,GEN,,,,,,,,,
91,"Avoid designating your app's entry points—such as activities, services, and broadcast receivers—as sources of data. Instead, they should only coordinate with other components to retrieve the subset of data that is relevant to that entry point. Each app component is rather shortlived, depending on the user's interaction with their device and the overall current health of the system.",M,GEN,,x,x,x,,,,,
87,"The UserRepository implementation abstracts the call to the Webservice object, but because it relies on only one data source, it's not very flexible. The key problem with the UserRepository implementation is that after it fetches data from our backend, it doesn't store that data anywhere. Therefore, if the user leaves the UserProfileFragment, then returns to it, our app must refetch the data, even if it hasn't changed. This design is suboptimal for the following reasons: - It wastes valuable network bandwidth. - It forces the user to wait for the new query to complete. - To address these shortcomings, we add a new data source to our UserRepository, which caches the User objects in memory",,,,,,,,,,,
