ID,Title,URL,Source,Selected,Read Title,Read Whole,I1,I2,E1,E2,E3,E4,GL-E1,GL-E2,GL-E3,GL-E4,GL-E5,GL-E6,GL-E7,Q1,Q2,Q3,Q4,Q5,Q,Snowballed,Notes
GL101,"Build for the next billion users | Android Developers
",https://developer.android.com/distribute/best-practices/develop/build-for-the-next-billion,GL4,,x,x,,x,,,,,,,,,,,,1,1,1,1,1,5,,
GL102,Model-View-Presenter: Android guidelines | Medium,https://medium.com/@cervonefrancesco/model-view-presenter-android-guidelines-94970b430ddf,GL4,x,x,x,x,x,,,,,,,,,,,,0.5,0,0.5,1,0,2,,
GL103,Architecting Android...The clean way?,https://fernandocejas.com/2014/09/03/architecting-android-the-clean-way/,GL6,x,x,x,x,x,,,,,,,,,,,,1,1,0.5,1,1,4.5,,
GL104,Architecting Android...The evolution,https://fernandocejas.com/2015/07/18/architecting-android-the-evolution/,GL6,x,x,x,x,x,,,,,,,,,,,,1,1,0.5,1,1,4.5,,
GL105,"REACTIVE APPS WITH MODEL-VIEW-INTENT - PART1 - MODEL
",http://hannesdorfmann.com/android/mosby3-mvi-1,GL72,x,x,x,x,x,,,,,,,,,,,,0,0.5,0.5,0.5,0.5,2,,
GL106,Repository Design Pattern,https://medium.com/@krzychukosobudzki/repository-design-pattern-bc490b256006,GL80,,x,x,x,x,,,,,,,,,,,,0,0,0.5,0.5,0.5,1.5,,
GL107,"A detailed guide on developing Android apps using the Clean Architecture pattern
",https://medium.com/@dmilicic/a-detailed-guide-on-developing-android-apps-using-the-clean-architecture-pattern-d38d71e94029,GL91,x,x,x,x,x,,,,,,,,,,,,0,0,0.5,1,0.5,2,,
GL109,Presenters are not for persisting,https://hackernoon.com/presenters-are-not-for-persisting-f537a2cc7962,GL103,x,x,x,x,x,,,,,,,,,,,,1,1,0.5,1,1,4.5,,
GL110,Tasting Dagger 2,https://fernandocejas.com/2015/04/11/tasting-dagger-2-on-android/,GL104,x,x,x,x,x,,,,,,,,,,,,,,,1,1,2,,
GL111,Create a Clean-Code App with Kotlin Coroutines and Android Architecture Components — Part 2,https://blog.elpassion.com/create-a-clean-code-app-with-kotlin-coroutines-and-android-architecture-components-part-2-4f585050d7d7,GL57,,x,x,x,,,,,,,,,,,,,0,1,0.5,1,1,3.5,,
GL112,Create a Clean-Code App with Kotlin Coroutines and Android Architecture Components — Part 3,https://blog.elpassion.com/create-a-clean-code-app-with-kotlin-coroutines-and-android-architecture-components-part-3-f3f3850acbe6,GL57,x,x,x,x,x,,,,,,,,,,,,0,1,0.5,1,1,3.5,,
GL113,REACTIVE APPS WITH MODEL-VIEW-INTENT - PART2 - VIEW AND INTENT,http://hannesdorfmann.com/android/mosby3-mvi-2,GL72,,x,x,,x,,,,,,,,,,,,0,0.5,0.5,0.5,0.5,2,,
GL114,REACTIVE APPS WITH MODEL-VIEW-INTENT - PART3 - STATE REDUCER],http://hannesdorfmann.com/android/mosby3-mvi-3,GL72,,x,x,x,x,,,,,,,,,,,,0,0.5,0,0.5,0.5,1.5,,
GL115,REACTIVE APPS WITH MODEL-VIEW-INTENT - PART4 - INDEPENDENT UI COMPONENTS,http://hannesdorfmann.com/android/mosby3-mvi-4,GL72,x,x,x,x,x,,,,,,,,,,,,0,0.5,0.5,0.5,0.5,2,,
GL116,REACTIVE APPS WITH MODEL-VIEW-INTENT - PART5 - DEBUGGING WITH EASE,http://hannesdorfmann.com/android/mosby3-mvi-5,GL72,,x,x,,x,,,,,,,,,,,,0,0.5,0.5,0.5,0.5,2,,
GL117,REACTIVE APPS WITH MODEL-VIEW-INTENT - PART6 - RESTORING STATE,http://hannesdorfmann.com/android/mosby3-mvi-6,GL72,x,x,x,x,x,,,,,,,,,,,,0,0.5,0.5,0.5,0.5,2,,
GL118,REACTIVE APPS WITH MODEL-VIEW-INTENT - PART7 - TIMING (SINGLELIVEEVENT PROBLEM),http://hannesdorfmann.com/android/mosby3-mvi-7,GL72,,x,x,,x,,,,,,,,,,,,0,0.5,0.5,0.5,0.5,2,,
GL119,REACTIVE APPS WITH MODEL-VIEW-INTENT - PART 8 - NAVIGATION,http://hannesdorfmann.com/android/mosby3-mvi-8,GL72,,x,x,,x,,,,,,,,,,,,0,0.5,0.5,0.5,0.5,2,,
GL120,Android Architecture Patterns Part 3: Model-View-ViewModel,https://medium.com/upday-devs/android-architecture-patterns-part-3-model-view-viewmodel-e7eeee76b73b,GL6,x,x,x,x,x,,,,,,,,,,,,1,1,1,1,1,5,,
GL121,Reactive Clean Architecture with Android Architecture Components,https://medium.com/insiden26/reactive-clean-architecture-with-android-architecture-components-685a6682e0ca,GL23,x,x,x,x,x,,,,,,,,,,,,1,0.5,0.5,1,1,4,,
GL122,What is all this Clean Architecture jibber-jabber ,http://pguardiola.com/blog/clean-architecture-part-1/,GL23,x,x,x,x,x,,,,,,,,,,,,0,0.5,1,1,1,3.5,,
GL123,Android Architecture: Part 1 – Every New Beginning is Hard,https://five.agency/android-architecture-part-1-every-new-beginning-is-hard/,GL23,x,x,x,x,x,,,,,,,,,,,,1,1,1,1,1,5,,
GL124,Converting an App to Use Clean Architecture,https://academy.realm.io/posts/converting-an-app-to-use-clean-architecture/,GL23,x,x,x,x,x,,,,,,,,,,,,1,1,0.5,0.5,0.5,3.5,,
GL125,A complete idiot’s guide to Clean Architecture,https://android.jlelse.eu/a-complete-idiots-guide-to-clean-architecture-2422f428946f,GL23,,x,x,x,x,,,,,x,,,,,,,0,0,0,1,1,2,,
GL126,MVVM + RxJava: Learnings,https://medium.com/upday-devs/mvvm-rxjava-learnings-1819423f9592,GL121,x,x,x,x,x,,,,,,,,,,,,1,0.5,0.5,1,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Android Architecture Components   ,https://developer.android.com/topic/libraries/architecture/,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary Studies Selected,,16,,,,,,,,,,,,,,,,,,,,,,,
