ID,Title,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
1,Analysis of the Android Architecture,"Stefan, Brahler",,journalArticle,2010,Q,o,,,,,,x,,,,,,,It's a book
2,Penerapan Service Oriented Architecture Menggunakan Web Service Pada Aplikasi Perpustakaan Berbasis Android,"Christanto, Ari Tunggul Sri; Kurniawati, Rachel",,journalArticle,2016,Q,o,,,,,,,x,,,,,,Not in English
3,"Analysis of the Android architecture, Karlsruher Institut für Technologie KIT, 2010","Brahler, S",,book,,Q,o,,,,,,x,,,x,,,,Duplication of ID:1
4,"Android augmented reality applications in extensible, flexible, and adaptable architecture","Araujo, Tiago; Carneiro, N; Miranda, B; Santos, CG; Meiguins, Bianchi Serique",,conferencePaper,2015,Q,o,,,,,,,x,,,,,,Not in English
5,Применение подхода CLEAN ARCHITECTURE при разработке Android-приложений: аннотация к дипломной работе,"Шаповалов, Евгений Сергеевич",,journalArticle,2017,Q,o,,,,,,,x,,,,,,Not in English
6,Clean architecture y RxJava en Android,"González Dı́ez, Marc",,journalArticle,2016,Q,o,,,,,,,x,,,,,,Not in English
7,Application of Android Architecture Components on a Kids Educational Game,"Sopčić, Marko","Fakultet elektrotehnike i računarstva, Sveučilište u Zagrebu",thesis,2018,Q,o,,,,,,,x,x,,,,,Not in English; Not peer-reviewed
8,"ARCA project. Architecture of resilience and community accommodation. Android-resilience shelter: strutture temporanee per l'emergenza abitativa, resilienti e ad elevate prestazioni termodinamiche","LUMINA, FEDERICO FLAVIO; POLESE, ILARIA; MUTTI, ELISA",,journalArticle,2015,Q,o,,,,,,,x,,,,,,Not in English
9,Android Application Development following the MVC Architecture,"Yeo, Se-Hwan; Kim, Jung-Sun",Korean Institute of Information Scientists and Engineers,conferencePaper,,Q,o,,,,,,,,,,x,,,Not available
10,應用服務導向架構規劃與設計行動化憑證簽核平台-以 Android 手機為例; Planning and Designing of Mobile Approval Platform on Android Phones by Using Application Service-oriented Architecture,楊國斌; others,,thesis,2011,Q,o,,,,,,,x,x,,,,,Not in English; Not peer-reviewed
