ID,Authors,Title,Venue,Venue Type,Year,Source (query/snowballing),Origin Paper,Snowballing Direction: (F)oward or (B)ackwards,Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
207,"Andreou, Andreas S and Leonidou, Costantinos and Chrysostomou, Chrysostomos and Pitsillides, Andreas and Samaras, George and Schizas, Christos",Key issues for the design and development of mobile commerce services and applications,International Journal of Mobile Communications,journalArticle,2005,S,22,B,o,,,x,,,,,,,,x,,"Not about Android, and not generalizable"
208,"Bavota, Gabriele and Linares-Vasquez, Mario and Bernal-Cardenas, Carlos Eduardo and Di Penta, Massimiliano and Oliveto, Rocco and Poshyvanyk, Denys",The impact of api change-and fault-proneness on the user ratings of android apps,IEEE Transactions on Software Engineering,journalArticle,2015,S,22,B,o,,,,x,,,,,,,,,Not about software architecture
209,"Gamma, Erich",Design Patterns: Elements of Reusable Object Oriented Software,New York: Addison-Wesley Professional,Book,1995,S,22,B,o,,,,,,x,,,,,,,It's a book
210,"Linares-V{\'a}squez, Mario and Bavota, Gabriele and Bernal-C{\'a}rdenas, Carlos and Oliveto, Rocco and Di Penta, Massimiliano and Poshyvanyk, Denys",Mining energy-greedy api usage patterns in android apps: an empirical study,Proceedings of the 11th Working Conference on Mining Software Repositories,Conference Paper,2014,S,22,B,o,o,,x,x,,,,,,,,,
211,"Linares-V{\'a}squez, Mario and Bavota, Gabriele and Bernal-C{\'a}rdenas, Carlos and Di Penta, Massimiliano and Oliveto, Rocco and Poshyvanyk, Denys",API change and fault proneness: a threat to the success of Android apps,Proceedings of the 2013 9th joint meeting on foundations of software engineering,Conference Paper,2013,S,22,B,o,o,,,,,,,,x,,,,Duplicate of ID:208
212,"Mojica, Israel J and Adams, Bram and Nagappan, Meiyappan and Dienst, Steffen and Berger, Thorsten and Hassan, Ahmed E",A large-scale empirical study on software reuse in mobile apps,IEEE software,journalArticle,2014,S,22,B,o,o,,,x,,,,,,,,,Not about software architecture
213,"Neil, Theresa",Mobile design pattern gallery: UI patterns for smartphone apps,"O'Reilly Media, Inc.",Book,2014,S,22,B,o,,,,,,x,,,,,,,It's a book
214,"Nilsson, Erik G",Design patterns for user interface for mobile applications,Advances in engineering software,journalArticle,2009,S,22,B,o,o,,x,x,,,,,,,,,
215,"Ruiz, Israel J Mojica and Nagappan, Meiyappan and Adams, Bram and Hassan, Ahmed E",Understanding reuse in the android market,"Program Comprehension (ICPC), 2012 IEEE 20th International Conference on",Conference Paper,2012,S,22,B,o,o,,x,x,,,,,,,,,
216,"Abi-Antoun, Marwan and Barnes, Jeffrey M",Analyzing security architectures,Proceedings of the IEEE/ACM international conference on Automated software engineering,Conference Paper,2010,S,73,B,o,,,x,,,,,,,,x,,"Not about Android, and not generalizable"
217,"Almorsy, Mohamed and Grundy, John and Ibrahim, Amani S",Automated software architecture security risk analysis using formalized signatures,Proceedings of the 2013 International Conference on Software Engineering,Conference Paper,2013,S,73,B,o,,,x,,,,,,,,,,Not about Android
218,"Bagheri, Hamid and Garcia, Joshua and Sadeghi, Alireza and Malek, Sam and Medvidovic, Nenad",Software architectural principles in contemporary mobile software: from conception to practice,Journal of Systems and Software,journalArticle,2016,S,73,B,o,o,,x,x,,,,,,,,,
219,"Bagheri, Hamid and Kang, Eunsuk and Malek, Sam and Jackson, Daniel",Detection of design flaws in the android permission protocol through bounded verification,International Symposium on Formal Methods,Conference Paper,2015,S,73,B,o,o,,x,,,,,,,,,,Not about Android
220,"Bagheri, Hamid and Kang, Eunsuk and Malek, Sam and Jackson, Daniel",A formal approach for detection of security flaws in the android permission system,Formal Aspects of Computing,journalArticle,2018,S,73,B,o,o,,,x,,,,,,,x,,"Not about software architecture, and not generalizable"
221,"Bagheri, Hamid and Sadeghi, Alireza and Garcia, Joshua and Malek, Sam",Covert: Compositional analysis of android inter-app permission leakage,IEEE transactions on Software Engineering,journalArticle,2015,S,73,B,o,,,,x,,,,,,,x,,"Not about software architecture, and not generalizable"
222,"Bagheri, Hamid and Sadeghi, Alireza and Jabbarvand, Reyhaneh and Malek, Sam","Practical, formal synthesis and automatic enforcement of security policies for android","Dependable Systems and Networks (DSN), 2016 46th Annual IEEE/IFIP International Conference on",Conference Paper,2016,S,73,B,o,,,,x,,,,,,,,,Not about software architecture
223,"Bodei, Chiara and Degano, Pierpaolo and Nielson, Flemming and Nielson, Hanne Riis",Security analysis using flow logics,Bulletin of the EATCS,journalArticle,2000,S,73,B,o,,,,,,,,,,,,,Not about software architecture or Android
224,"Cheng, Shang-Wen",Rainbow: cost-effective software architecture-based self-adaptation,,thesis,2004,S,73,B,o,,,,,,,,x,,,,,Not peer-reviewed
225,"Chin, Erika and Felt, Adrienne Porter and Greenwood, Kate and Wagner, David",Analyzing inter-application communication in Android,"Proceedings of the 9th international conference on Mobile systems, applications, and services",Conference Paper,2011,S,73,B,o,o,,,x,,,,,,,x,,"Not about software architecture, and not generalizable"
226,"Davi, Lucas and Dmitrienko, Alexandra and Sadeghi, Ahmad-Reza and Winandy, Marcel",Privilege escalation attacks on android,international conference on Information security,Conference Paper,2010,S,73,B,o,,,,x,,,,,,,,,Not about software architecture
227,"Deng, Yi and Wang, Jiacun and Tsai, Jeffrey JP and Beznosov, Konstantin",An approach for modeling and analysis of security system architectures,IEEE Transactions on Knowledge \& Data Engineering,journalArticle,2003,S,73,B,o,o,,x,,,,,,,,,,Not about Android
228,"Denning, Dorothy E",A lattice model of secure information flow,Communications of the ACM,journalArticle,1976,S,73,B,o,,,,,,,,,,,,,Not about software architecture or Android
229,"Denning, Dorothy E and Denning, Peter J",Certification of programs for secure information flow,Communications of the ACM,journalArticle,1977,S,73,B,o,,,,,,,,,,,,,Not about software architecture or Android
230,"Fernandez, Eduardo B and Larrondo-Petrie, Maria M",A methodology to develop secure systems using patterns,"Information Security and Ethics: Concepts, Methodologies, Tools, and Applications",Book,2008,S,73,B,o,,,,,,x,,,,,,,It's a book
231,"Garg, Kirti and Garlan, David and Schmerl, Bradley",Architecture Based Information Flow Analysis for Software Security,,journalArticle,2008,S,73,B,o,,,x,,,,,,,,,,Not about Android
232,"Garlan, David and Cheng, S-W and Huang, A-C and Schmerl, Bradley and Steenkiste, Peter",Rainbow: Architecture-based self-adaptation with reusable infrastructure,IEEE,journalArticle,2004,S,73,B,o,,,x,,,,,,,,,,Not about Android
233,"Garlan, David and Monroe, Robert T and Wile, David",Acme: Architectural description of component-based systems,Foundations of component-based systems,journalArticle,2000,S,73,B,o,,,x,,,,,,,,,,Not about Android
234,"Sloane, Anthony M","Software Abstractions: Logic, Language, and Analysis",Journal of Functional Programming,journalArticle,2009,S,73,B,o,,,,,,x,,,,,,,It's a book
235,"Ren, Jie and Taylor, Richard",A secure software architecture description language,"Workshop on Software Security Assurance Tools, Techniques, and Metrics",Conference Paper,2005,S,73,B,o,,,x,,,,,,,,,,Not about Android
236,"Sadeghi, Alireza and Bagheri, Hamid and Malek, Sam",Analysis of android inter-app security vulnerabilities using COVERT,Proceedings of the 37th International Conference on Software Engineering-Volume 2,Conference Paper,2015,S,73,B,o,,,x,,,,,,,,x,,"Not about software architecture, and not generalizable"
237,"Mary, Shaw and David, Garlan",Software Architecture: Perspectives on an Emerging Discipline,,journalArticle,1996,S,73,B,o,,,,,,x,,,,,,,It's a book
